	Symbol	Panel Id	Panel Name	Panel Version	Panel Status	List	Sources	Mode of inheritance	Mode of pathogenicity	Tags	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Biotype	Phenotypes	GeneLocation((GRch37)	GeneLocation((GRch38)	Panel Types	Super Panel Id	Super Panel Name	Super Panel Version
26516	RPS10	384	Limb disorders	2.13	PUBLIC	green	Expert Review Green;Victorian Clinical Genetics Services	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000124614	ENSG00000124614	HGNC:10383	protein_coding	upper limb malformation;Diamond-Blackfan anemia 9, 613308;Radial Ray abnormality	6:34385231-34393902	6:34417454-34426125	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
56898	KDM5C	285	Intellectual disability	3.355	PUBLIC	green	Victorian Clinical Genetics Services;Expert Review Green;Radboud University Medical Center, Nijmegen;Emory Genetics Laboratory	X-LINKED: hemizygous mutation in males, biallelic mutations in females			ENSG00000126012	ENSG00000126012	HGNC:11114	protein_coding	Mental retardation, X-linked, syndromic, Claes-Jensen type, 300534 -3;MENTAL RETARDATION SYNDROMIC X-LINKED JARID1C-RELATED (MRXSJ)	X:53220503-53254604	X:53191321-53225422	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
22949	NSUN3	467	Inborn errors of metabolism	2.22	PUBLIC	amber	Expert list;Expert Review Amber	BIALLELIC, autosomal or pseudoautosomal			ENSG00000178694	ENSG00000178694	HGNC:26208	protein_coding	Combined mitochondrial respiratory chain complex deficiency	3:93781760-93847389	3:94062916-94128545	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
52040	IHH	309	Skeletal dysplasia	2.2	PUBLIC	green	Emory Genetics Laboratory;Expert list;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	BOTH monoallelic and biallelic, autosomal or pseudoautosomal			ENSG00000163501	ENSG00000163501	HGNC:5956	protein_coding	Acrocapitofemoral dysplasia 607778;Brachydactyly, type A1 112500	2:219919142-219925189	2:219054420-219060467	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
59377	NDUFB1	467	Inborn errors of metabolism	2.22	PUBLIC	red	Expert Review Red	Unknown			ENSG00000183648	ENSG00000183648	HGNC:7695	protein_coding	No OMIM phenotype;Isolated complex I deficiency	14:92582466-92588261	14:92116122-92121917	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
25484	CLCNKB	285	Intellectual disability	3.355	PUBLIC	red	Expert Review Red;Radboud University Medical Center, Nijmegen	BIALLELIC, autosomal or pseudoautosomal		polygenic	ENSG00000184908	ENSG00000184908	HGNC:2027	protein_coding	Bartter syndrome, type 3, 607364Bartter syndrome, type 4b, digenic, 613090;BARTTER SYNDROME TYPE 4B	1:16370272-16383803	1:16043736-16057308	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
6822	ATAD3A	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown		watchlist	ENSG00000197785	ENSG00000197785	HGNC:25567	protein_coding	ATAD3A disorder - global developmental delay, hypotonia, optic atrophy, axonal neuropathy, and hypertrophic cardiomyopathy;ATAD3A disorder -  global developmental delay, hypotonia, optic atrophy, axonal neuropathy, and hypertrophic cardiomyopathy	1:1447531-1470067	1:1512151-1534687	GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
40706	TMEM126B	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000171204	ENSG00000171204	HGNC:30883	protein_coding	Muscle Weakness and Isolated Complex I Deficiency	11:85339629-85347580	11:85628573-85636539	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
41396	EPB41L1	285	Intellectual disability	3.355	PUBLIC	amber	Victorian Clinical Genetics Services;Expert Review Amber;Expert Review Red;Radboud University Medical Center, Nijmegen	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown		watchlist	ENSG00000088367	ENSG00000088367	HGNC:3378	protein_coding	?Mental retardation, autosomal dominant 11  614257	20:34679426-34820721	20:36091504-36232799	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
42985	MEGF10	285	Intellectual disability	3.355	PUBLIC	red	Expert Review Red;BRIDGE study SPEED NEURO Tier1 Gene	BIALLELIC, autosomal or pseudoautosomal			ENSG00000145794	ENSG00000145794	HGNC:29634	protein_coding	Gene2Phenotype confirmed gene with ID HPO	5:126626523-126801429	5:127290831-127465737	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
24651	TAF6	285	Intellectual disability	3.355	PUBLIC	green	Expert Review Green;Literature;Victorian Clinical Genetics Services	BIALLELIC, autosomal or pseudoautosomal			ENSG00000106290	ENSG00000106290	HGNC:11540	protein_coding	Alazami-Yuan syndrome, 617126;Intellectual disability	7:99704693-99717464	7:100107070-100119841	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
46475	EXOC3L2	725	Renal ciliopathies	1.28	PUBLIC	red	Expert Review Red;Expert list;Expert Review Red;Expert list	BIALLELIC, autosomal or pseudoautosomal			ENSG00000130201	ENSG00000283632	HGNC:30162		Dandy-Walker malformation;enlarged echogenic kidneys;echogenic kidneys;hydrocephalus;anhydramnios	19:45715879-45737469	19:45212621-45245431	GMS Rare Disease;Component Of Super Panel;GMS signed-off	728	Rare multisystem ciliopathy Super panel	4.56
55111	EYA1	156	Unexplained kidney failure in young people	1.91	PUBLIC	green	Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000104313	ENSG00000104313	HGNC:3519	protein_coding	"Branchiootorenal syndrome 1, with or without cataracts	113650"	8:72109668-72274467	8:71197433-71362232	Rare Disease 100K	-	-	-
52916	TEK	564	Mosaic skin disorders - deep sequencing	1.3	PUBLIC	amber	Expert Review Amber;Expert Review	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000120156	ENSG00000120156	HGNC:11724	protein_coding	Venous malformations, multiple cutaneous and mucosal, 600195	9:27109139-27230173	9:27109141-27230175	GMS Rare Disease;Component Of Super Panel;GMS signed-off	492	Skin disorders	13.42
48265	RSPH1	550	Respiratory ciliopathies including non-CF bronchiectasis	1.7	PUBLIC	green	Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000160188	ENSG00000160188	HGNC:12371	protein_coding	Ciliary dyskinesia, primary, 24, 615481	21:43892596-43916464	21:42472486-42496354	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
56449	DIAPH1	285	Intellectual disability	3.355	PUBLIC	green	Expert Review Green;Other	BIALLELIC, autosomal or pseudoautosomal			ENSG00000131504	ENSG00000131504	HGNC:2876	protein_coding	Seizures, cortical blindness, microcephaly syndrome, 616632; developmental delay; intellectual disability	5:140894583-140998622	5:141515016-141619055	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
32747	VPS13A	192	Early onset dystonia	1.81	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000197969	ENSG00000197969	HGNC:1908	protein_coding	complex parkinsonism	9:79792269-80036457	9:77177353-77421541	Rare Disease 100K	586	Merge for Neurodegenerative disorders - adult onset	1.186
3723	DCC	847	Childhood onset dystonia or chorea or related movement disorder	1.51	PUBLIC	red	Expert Review Red;London North GLH				ENSG00000187323	ENSG00000187323	HGNC:2701	protein_coding		18:49866542-51057784	18:52340172-53535903	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
42187	TRAPPC11	285	Intellectual disability	3.355	PUBLIC	amber	Expert Review Amber;Expert Review Red	BIALLELIC, autosomal or pseudoautosomal			ENSG00000168538	ENSG00000168538	HGNC:25751	protein_coding	myopathy and intellectual disability	4:184580420-184634745	4:183659267-183713594	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
13745	PEX26	144	Fetal hydrops	1.23	PUBLIC	green	Expert Review Green;Other	BIALLELIC, autosomal or pseudoautosomal			ENSG00000215193	ENSG00000215193	HGNC:22965	protein_coding	Peroxisome biogenesis disorder 7B, 614873;  Peroxisome biogenesis disorder 7A (Zellweger), 614872	22:18560689-18613905	22:18077920-18131138	Rare Disease 100K	-	-	-
51174	SLC25A13	921	Severe Paediatric Disorders	1.11	PUBLIC	green	Expert list;Expert Review Green;Next Generation Children Project	BIALLELIC, autosomal or pseudoautosomal			ENSG00000004864	ENSG00000004864	HGNC:10983	protein_coding	Citrullinemia, adult-onset type II, 603471;Citrullinemia, type II, neonatal-onset, 605814	7:95749532-95951459	7:96120220-96322147	Research	-	-	-
1599	AZGP1	657	Autism	0.16	PUBLIC	red	Expert Review Red;SFARI				ENSG00000160862	ENSG00000160862	HGNC:910	protein_coding		7:99564343-99573780	7:99966720-99976157	Research	-	-	-
43358	RYR3	484	DDG2P	2.9	PUBLIC	red	DD-Gene2Phenotype;Expert Review Red	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000198838	ENSG00000198838	HGNC:10485	protein_coding	EPILEPTIC ENCEPHALOPATHY	15:33603163-34158303	15:33310945-33866121	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
54245	FANCD2	243	Tumour predisposition - childhood onset	2.13	PUBLIC	green	Expert List;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	BIALLELIC, autosomal or pseudoautosomal			ENSG00000144554	ENSG00000144554	HGNC:3585	protein_coding	Fanconi anemia, complementation group D2, 227646;Fanconi Anaemia;Fanconi Anemia	3:10068098-10143614	3:10026414-10101930	Rare Disease 100K;GMS Rare Disease;GMS Cancer Germline Virtual;GMS signed-off	-	-	-
11606	DTNA	394	Familial Meniere Disease	1.1	PUBLIC	amber	Expert Review Amber;Literature;Other	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted		multifactorial;watchlist	ENSG00000134769	ENSG00000134769	HGNC:3057	protein_coding	Meniere disease	18:32073254-32471808	18:34493290-34891844	Rare Disease 100K	-	-	-
5714	STAT5B	111	COVID-19 research	1.69	PUBLIC	green	ESID Registry 20171117;Expert Review Green;GOSH PID v.8.0;GRID V2.0;IUIS Classification December 2029;IUIS Classification February 2018;London North GLH;NHS GMS;North West GLH;SCID v1.6;Victorian Clinical Genetics Services	BOTH monoallelic and biallelic, autosomal or pseudoautosomal			ENSG00000173757	ENSG00000173757	HGNC:11367	protein_coding	Combined immunodeficiency;T-B+ SCID;Growth-hormone insensitive dwarfism, dysmorphic features, eczema, lymphocytic interstitial pneumonitis, autoimmunity;Growth hormone insensitivity with immunodeficiency 245590;Combined immunodeficiencies with associated or syndromic features	17:40351186-40428725	17:42199168-42276707	Research	-	-	-
31539	OTC	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)			ENSG00000036473	ENSG00000036473	HGNC:8512	protein_coding	Ornithine transcarbamylase deficiency, 311250;Ornithine transcarbamylase deficiency (Urea cycle disorders and inherited hyperammonaemias)	X:38211798-38280703	X:38352545-38421450	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	582	Merge for Molecular autopsy	6.34
43201	PIN1	309	Skeletal dysplasia	2.2	PUBLIC	red	Expert Review Red;Expert list	Unknown			ENSG00000127445	ENSG00000127445	HGNC:8988	protein_coding	No phenotype associated with this gene	19:9945933-9960358	19:9835257-9849682	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
7795	TBX22	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	X-LINKED: hemizygous mutation in males, biallelic mutations in females			ENSG00000122145	ENSG00000122145	HGNC:11600	protein_coding	CLEFT PALATE, X-LINKED 304011	X:79270255-79287268	X:80014756-80031769	GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
38302	EPG5	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000152223	ENSG00000152223	HGNC:29331	protein_coding	IMMUNODEFICIENCY WITH CLEFT LIP/PALATE, CATARACT, HYPOPIGMENTATION, AND ABSENT CORPUS CALLOSUM 242840	18:43427574-43547240	18:45847609-45967274	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
9693	ABCA1	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000165029	ENSG00000165029	HGNC:29	protein_coding	Tangier disease (Disorders of high density lipoprotein metabolism)	9:107543283-107690518	9:104781002-104928237	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	489	Epilepsy - early onset or syndromic	4.182
15691	SMC3	473	Growth failure in early childhood	1.1	PUBLIC	red	Expert Review Red	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000108055	ENSG00000108055	HGNC:2468	protein_coding	Cornelia De Lange	10:112327449-112364394	10:110567691-110604636	GMS Rare Disease Virtual;GMS signed-off	-	-	-
30962	APOC2	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000234906	ENSG00000234906	HGNC:609	protein_coding	Hyperlipoproteinemia, type Ib 207750;Familial apolipoprotein C - II deficiency (Familial chylomicronaemia, Inherited hypercholesterolaemias)	19:45449243-45452822	19:44945982-44949565	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	582	Merge for Molecular autopsy	6.34
60017	OTX2	204	Bilateral microtia	1.16	RETIRED	red	Expert list;Expert Review Red				ENSG00000165588	ENSG00000165588	HGNC:8522	protein_coding	Bilateral Microtia	14:57267425-57277197	14:56799905-56810479	Rare Disease 100K	-	-	-
20872	MFSD2A	285	Intellectual disability	3.355	PUBLIC	amber	Expert Review Amber;BRIDGE study SPEED NEURO Tier1 Gene	Unknown			ENSG00000168389	ENSG00000168389	HGNC:25897	protein_coding		1:40420802-40435638	1:39955112-39969968	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	490	Hypotonic infant	9.454
22347	CLPB	467	Inborn errors of metabolism	2.22	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000162129	ENSG00000162129	HGNC:30664	protein_coding	3-methylglutaconic aciduria  with the following: cataract, renal cysts and nephrocalcinosis;cataract, neutropenia, epilepsy;congenital microcephaly and severe encephalopathy;progressive brain atrophy, intellectual disability, congenital neutropenia, cataracts, movement disorder	11:72003469-72145692	11:72292425-72434680	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
11625	CCL5	394	Familial Meniere Disease	1.1	PUBLIC	red	Literature				ENSG00000161570	ENSG00000271503	HGNC:10632			17:34198495-34207797	17:35871491-35880793	Rare Disease 100K	-	-	-
58306	FAM161A	285	Intellectual disability	3.355	PUBLIC	amber	Expert Review Amber;BRIDGE study SPEED NEURO Tier1 Gene	BIALLELIC, autosomal or pseudoautosomal			ENSG00000170264	ENSG00000170264	HGNC:25808	protein_coding	Retinitis pigmentosa 28, 606068 	2:62051989-62081278	2:61824854-61854143	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
23552	NKX6-2	42	Inherited white matter disorders	1.82	PUBLIC	green	Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000148826	ENSG00000148826	HGNC:19321	protein_coding	"Spastic ataxia 8, autosomal recessive, with hypomyelinating leukodystrophy	617560"	10:134598297-134599556	10:132783179-132786052	Rare Disease 100K	-	-	-
24973	FOXE1	285	Intellectual disability	3.355	PUBLIC	amber	BRIDGE study SPEED NEURO Tier1 Gene;Expert Review Amber	BIALLELIC, autosomal or pseudoautosomal	Other - please provide details in the comments		ENSG00000178919	ENSG00000178919	HGNC:3806	protein_coding	Bamforth-Lazarus syndrome, 241850 	9:100615536-100618986	9:97853254-97856715	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
24018	EXOSC3	285	Intellectual disability	3.355	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000107371	ENSG00000107371	HGNC:17944	protein_coding	PONTOCEREBELLAR HYPOPLASIA TYPE 1	9:37766975-37801434	9:37766978-37801437	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	-	-	-
31118	DNAJC19	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000205981	ENSG00000205981	HGNC:30528	protein_coding	3-methylglutaconic aciduria, type V, 610198;Disorders of the mitochondrial import system;3-methylglutaconic aciduria, type V	3:180701497-180707562	3:180983709-180989774	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	582	Merge for Molecular autopsy	6.34
11395	MNX1	152	Familial diabetes	1.38	PUBLIC	green	Expert Review Green;Expert Review Removed;UKGTN	BIALLELIC, autosomal or pseudoautosomal			ENSG00000130675	ENSG00000130675	HGNC:4979	protein_coding		7:156786745-156803345	7:156994051-157010651	Rare Disease 100K	-	-	-
40366	SLC35A2	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)			ENSG00000102100	ENSG00000102100	HGNC:11022	protein_coding	Epileptic Encephalopathy due to congenital disorder of glycosylation	X:48760459-48769235	X:48903180-48911958	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
9822	BCKDHA	402	Genetic epilepsy syndromes	2.154	PUBLIC	green	Wessex and West Midlands GLH;NHS GMS;Expert Review Green;Victorian Clinical Genetics Services	BIALLELIC, autosomal or pseudoautosomal			ENSG00000248098	ENSG00000248098	HGNC:986	protein_coding	Maple syrup urine disease, type Ia 248600	19:41884215-41930910	19:41397460-41425005	Rare Disease 100K;GMS Rare Disease Virtual;GMS signed-off	489	Epilepsy - early onset or syndromic	4.182
9752	ALG3	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000214160	ENSG00000214160	HGNC:23056	protein_coding	Mannosyltransferase 6 deficiency ALG3-CDG (Disorders of protein N-glycosylation);Congenital disorder of glycosylation, type Id 601110;Mannosyltransferase 6 deficiency (Disorders of protein N-glycosylation);ALG3-CDG (Disorders of protein N-glycosylation)	3:183960089-183967336	3:184242301-184249548	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	489	Epilepsy - early onset or syndromic	4.182
59398	NDUFS5	467	Inborn errors of metabolism	2.22	PUBLIC	red	Expert Review Red	Unknown			ENSG00000168653	ENSG00000168653	HGNC:7712	protein_coding	Mitochondrial Diseases;No OMIM phenotype;Isolated complex I deficiency	1:39491990-39500308	1:39026318-39034636	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
58446	KLF1	285	Intellectual disability	3.355	PUBLIC	amber	Expert Review Amber;BRIDGE study SPEED NEURO Tier1 Gene	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000105610	ENSG00000105610	HGNC:6345	protein_coding	Blood group--Lutheran inhibitor, 111150;[Hereditary; persistence of fetal hemoglobin], 613566;Dyserythropoietic anemia, congenital, type IV, 613673 	19:12995237-12997995	19:12884423-12887181	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
35093	UQCC2	536	Mitochondrial disorder with complex III deficiency	1.3	PUBLIC	green	Expert Review Green;NHS GMS	BIALLELIC, autosomal or pseudoautosomal			ENSG00000137288	ENSG00000137288	HGNC:21237	protein_coding	Mitochondrial complex III deficiency, nuclear type 7, 615824	6:33662070-33679504	6:33694293-33711727	GMS Rare Disease;GMS signed-off	-	-	-
48139	TRIM32	725	Renal ciliopathies	1.28	PUBLIC	red	UKGTN;Expert Review Red;Expert list;Emory Genetics Laboratory;Radboud University Medical Center, Nijmegen	BIALLELIC, autosomal or pseudoautosomal			ENSG00000119401	ENSG00000119401	HGNC:16380	protein_coding	?Bardet-Biedl syndrome 11, 615988;Muscular dystrophy, limb-girdle, type 2H, 254110	9:119449581-119463579	9:116687302-116701300	GMS Rare Disease;Component Of Super Panel;GMS signed-off	903	Renal superpanel - narrow	2.242
503	KCNJ1	269	Amelogenesis imperfecta	2.8	PUBLIC	red	Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000151704	ENSG00000151704	HGNC:6255	protein_coding	Bartter syndrome, type 2,  241200; Amelogenesis Imperfecta	11:128706210-128737268	11:128836315-128867373	Rare Disease 100K;GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
18145	ARG1	267	Hyperammonaemia	1.8	PUBLIC	green	Expert Review Green;Radboud University Medical Center, Nijmegen;UKGTN	BIALLELIC, autosomal or pseudoautosomal			ENSG00000118520	ENSG00000118520	HGNC:663	protein_coding	Argininemia 207800	6:131894284-131905472	6:131573144-131584332	Rare Disease 100K	-	-	-
38159	DLL4	484	DDG2P	2.9	PUBLIC	green	DD-Gene2Phenotype;Expert Review Green	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown			ENSG00000128917	ENSG00000128917	HGNC:2910	protein_coding	ADAMS-OLIVER SYNDROME 6 616589	15:41221538-41231237	15:40929340-40939072	GMS Rare Disease;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
5198	TNNT1	225	Congenital myopathy	2.7	PUBLIC	green	Emory Genetics Laboratory;Expert;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;London South GLH;NHS GMS;Radboud University Medical Center, Nijmegen;UKGTN	BIALLELIC, autosomal or pseudoautosomal			ENSG00000105048	ENSG00000105048	HGNC:11948	protein_coding	nemaline myopathy;Nemaline Myopathy, Recessive;Nemaline myopathy 5, Amish type, 605355	19:55644162-55660722	19:55132794-55149354	Rare Disease 100K;GMS Rare Disease;Component Of Super Panel;GMS signed-off	-	-	-
58737	TNR	285	Intellectual disability	3.355	PUBLIC	amber	Expert Review Amber;Expert list	BIALLELIC, autosomal or pseudoautosomal			ENSG00000116147	ENSG00000116147	HGNC:11953	protein_coding	Spastic para- or tetraparesis;Axial muscular hypotonia;Intellectual disability;Transient opisthotonus	1:175284330-175712906	1:175315194-175743770	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	496	White matter disorders - childhood onset	6.427
31528	NPC2	467	Inborn errors of metabolism	2.22	PUBLIC	green	London North GLH;NHS GMS;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000119655	ENSG00000119655	HGNC:14537	protein_coding	Niemann-Pick disease type C2, 607625	14:74942895-74960880	14:74476192-74494177	GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	582	Merge for Molecular autopsy	6.34
39594	NUBPL	285	Intellectual disability	3.355	PUBLIC	green	Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000151413	ENSG00000151413	HGNC:20278	protein_coding	MITOCHONDRIAL COMPLEX I DEFICIENCY	14:31959162-32330430	14:31489956-31861224	Rare Disease 100K;GMS Rare Disease Virtual;Component Of Super Panel;GMS signed-off	486	Paediatric disorders	14.574
6433	RTEL1	519	Cytopenia - NOT Fanconi anaemia	1.16	PUBLIC	green	Expert Review Green;London South GLH;NHS GMS;North West GLH;Wessex and West Midlands GLH;Yorkshire and North East GLH	BOTH monoallelic and biallelic, autosomal or pseudoautosomal			ENSG00000258366	ENSG00000258366	HGNC:15888	protein_coding	616373 Pulmonary fibrosis and/or bone marrow failure, telomere-related;615190 Dyskeratosis congenita;616373 Pulmonary fibrosis and/or bone marrow failure, telomere-related, 3;615190 DC type 4 and 5;Dyskeratosis congenita, autosomal dominant 4, 615190;Dyskeratosis congenita, autosomal recessive 5, 615190;Dyskeratosis congenita, autosomal recessive 5 615190	20:62289163-62328416	20:63657810-63696253	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
2917	PEX5	230	Cataracts	2.13	PUBLIC	green	Expert Review;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000139197	ENSG00000139197	HGNC:9719	protein_coding	Peroxisome biogenesis disorder 2A (Zellweger); Peroxisome biogenesis disorder 2B; Rhizomelic chondrodysplasia punctata, type 5 	12:7341281-7371170	12:7188685-7218574	Rare Disease 100K;GMS Rare Disease Virtual;GMS signed-off	-	-	-
16365	PNKP	20	Hereditary ataxia	1.205	PUBLIC	green	Expert Review;Expert Review Green	BIALLELIC, autosomal or pseudoautosomal			ENSG00000039650	ENSG00000039650	HGNC:9154	protein_coding	Ataxia with oculomotor apraxia 4 (#616267)	19:50364461-50371166	19:49859882-49878351	Rare Disease 100K	-	-	-
54589	GNPTG	302	Undiagnosed metabolic disorders	1.422	PUBLIC	green	Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000090581	ENSG00000090581	HGNC:23026	protein_coding	Mucolipidosis III, Pseudo-Hurler polydystrophy (Other lysosomal disorders);Mucolipidosis, Type III Gamma;Mucolipidosis III gamma;mucolipidpsis type III complementation group C	16:1401924-1413352	16:1351923-1364113	Rare Disease 100K	-	-	-
639	ALG3	258	Arthrogryposis	3.11	PUBLIC	green	Expert Review Green;Literature	BIALLELIC, autosomal or pseudoautosomal			ENSG00000214160	ENSG00000214160	HGNC:23056	protein_coding	Congenital disorder of glycosylation, type Id, 601110	3:183960089-183967336	3:184242301-184249548	Rare Disease 100K;GMS Rare Disease Virtual;GMS signed-off	-	-	-
53478	NTF4	509	Structural eye disease	1.11	PUBLIC	red	Expert Review Red;NHS GMS	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted			ENSG00000225950	ENSG00000225950	HGNC:8024	protein_coding	Glaucoma 1, open angle, 1O, 613100	19:49559050-49568333	19:49061066-49065054	GMS Rare Disease Virtual;GMS Rare Disease;GMS signed-off	-	-	-
18179	SLC25A13	267	Hyperammonaemia	1.8	PUBLIC	green	Emory Genetics Laboratory;Expert Review Green;Illumina TruGenome Clinical Sequencing Services;Radboud University Medical Center, Nijmegen;UKGTN	BIALLELIC, autosomal or pseudoautosomal			ENSG00000004864	ENSG00000004864	HGNC:10983	protein_coding	Citrullinemia, adult-onset type II 603471	7:95749532-95951459	7:96120220-96322147	Rare Disease 100K	-	-	-
